Date,Team,Player_Name,Notes,Year,Injury_Type
2010-12-31,Raptors,Sonny Weems,Back Spasms (Dnp),2010,Other
2010-12-31,Rockets,Chuck Hayes,Placed On Il With Sprained Right Ankle,2010,Sprain
2010-12-31,Rockets,Nan,Activated From Il,2010,Other
2010-12-31,Suns,Garret Siler,Placed On Il,2010,Other
2010-12-31,Warriors,Brandan Wright,Strained Lower Back (Out Indefinitely),2010,Strain
2010-12-31,Wizards,Kevin Seraphin,Placed On Il,2010,Other
2010-12-31,Wizards,Kirk Hinrich,Placed On Il With Bruised Left Thigh,2010,Bruise
2010-12-31,Celtics,Rajon Rondo,Sprained Left Ankle (Dnp),2010,Sprain
2011-01-01,Bucks,Drew Gooden,Plantar Fasciitis In Left Foot (Dnp),2011,Other
2011-01-01,Cavaliers,Anderson Varejao,Placed On Il With Fractured Cheekbone,2011,Fracture
2011-01-01,Cavaliers,Daniel Gibson,Bruised Left Thigh (Dnp),2011,Bruise
2011-01-01,Cavaliers,Mo Williams,Strained Left Hip Flexor (Dnp),2011,Strain
2011-01-01,Cavaliers,Nan,Activated From Il,2011,Other
2011-01-01,Grizzlies,Rudy Gay,Stomach Virus (Dnp),2011,Other
2011-01-01,Grizzlies,Xavier Henry,Sore Right Knee (Dnp),2011,Other
2011-01-01,Hornets,Didier Mbenga,Placed On Il,2011,Other
2011-01-01,Jazz,C.J. Miles,Flu-Like Symptoms (Dnp),2011,Other
2011-01-01,Jazz,Mehmet Okur,Placed On Il With Strained Lower Back,2011,Strain
2011-01-01,Mavericks,Shawn Marion,Bruised Thigh (Dnp),2011,Bruise
2011-01-01,Nets,Jordan Farmar,Bone Bruise In Right Knee (Dnp),2011,Bruise
2011-01-01,Nuggets,Melvin Ely,Placed On Il,2011,Other
2011-01-01,Timberwolves,Jonny Flynn,Placed On Il With Sprained Right Ankle,2011,Sprain
2011-01-01,Wizards,Josh Howard,Placed On Il With Sore Left Knee,2011,Other
2011-01-02,Blazers,Brandon Roy,Sore Left Knee (Dnp),2011,Other
2011-01-02,Cavaliers,Daniel Gibson,Placed On Il With Bruised Left Thigh,2011,Bruise
2011-01-02,Hawks,Marvin Williams,Placed On Il With Sore Lower Back,2011,Other
2011-01-02,Hawks,Nan,Activated From Il,2011,Other
2011-01-02,Knicks,Timofey Mozgov,Shin Injury (Dtd),2011,Other
2011-01-02,Mavericks,Caron Butler,Placed On Il With Torn Patella Tendon In Right Knee (Out For Season),2011,Torn
2011-01-02,Pacers,A.J. Price,Placed On Il,2011,Other
2011-01-02,Raptors,Jerryd Bayless,Sprained Left Ankle (Dnp),2011,Sprain
2011-01-02,Raptors,Sonny Weems,Back Spasms (Dnp),2011,Other
2011-01-03,76Ers,Spencer Hawes,Strained Back (Dnp),2011,Strain
2011-01-03,Bobcats,Desagana Diop,Placed On Il With Ruptured Right Achilles Tendon (Out For Season),2011,Rupture
2011-01-03,Bobcats,Gerald Wallace,Placed On Il With Left Ankle Injury,2011,Other
2011-01-03,Bobcats,Nazr Mohammed,Placed On Il With Right Knee Injury,2011,Other
2011-01-03,Bobcats,Nan,Activated From Il,2011,Other
2011-01-03,Knicks,Danilo Gallinari,Sprained Left Knee (Out Indefinitely),2011,Sprain
2011-01-03,Pistons,Chris Wilcox,Groin Injury (Dtd),2011,Other
2011-01-03,Timberwolves,Sundiata Gaines,Placed On Il,2011,Other
2011-01-03,Warriors,David Lee,Placed On Il With Back Injury,2011,Other
2011-01-04,Blazers,Brandon Roy,Placed On Il With Sore Left Knee,2011,Other
2011-01-04,Blazers,Nan,Activated From Il,2011,Other
2011-01-04,Bucks,Drew Gooden,Plantar Fasciitis In Left Foot (Dnp),2011,Other
2011-01-04,Grizzlies,O.J. Mayo,Bronchitis (Dnp),2011,Other
2011-01-04,Grizzlies,Xavier Henry,Sore Right Knee (Dnp),2011,Other
2011-01-04,Knicks,Danilo Gallinari,Placed On Il With Sprained Left Knee,2011,Sprain
2011-01-04,Mavericks,Caron Butler,Surgery On Right Knee To Repair Torn Patella Tendon (Out For Season),2011,Torn
2011-01-04,Pistons,Chris Wilcox,Placed On Il,2011,Other
2011-01-04,Raptors,Sonny Weems,Placed On Il With Back Spasms,2011,Other
2011-01-05,76Ers,Tony Battie,Rotator Cuff Injury (Dtd),2011,Other
2011-01-05,Bobcats,Desagana Diop,Surgery To Repair Ruptured Right Achilles Tendon (Out For Season),2011,Surgery
2011-01-05,Bobcats,Stephen Jackson,Hyperextended Left Knee (Dnp),2011,Other
2011-01-05,Bucks,Brandon Jennings,Surgery On Left Foot (Out Indefinitely),2011,Surgery
2011-01-05,Bucks,Drew Gooden,Plantar Fasciitis In Left Foot (Dnp),2011,Other
2011-01-05,Bucks,Nan,Activated From Il,2011,Other
2011-01-05,Cavaliers,Anthony Parker,Placed On Il With Sore Back,2011,Other
2011-01-05,Cavaliers,Jamario Moon,Placed On Il,2011,Other
2011-01-05,Jazz,Paul Millsap,Bruised Right Hip (Dnp),2011,Bruise
2011-01-05,Nuggets,Renaldo Balkman,Placed On Il,2011,Other
2011-01-05,Rockets,Aaron Brooks,Placed On Il With Sore/Sprained Left Ankle,2011,Sprain
2011-01-05,Warriors,Charlie Bell,Placed On Il,2011,Other
2011-01-05,Wizards,Cartier Martin,Placed On Il,2011,Other
2011-01-06,Cavaliers,Daniel Gibson,Sprained Left Ankle (Dtd),2011,Sprain
2011-01-06,Nuggets,Kenyon Martin,Placed On Il With Left Knee Injury,2011,Other
2011-01-06,Nuggets,Nan,Activated From Il,2011,Other
2011-01-06,Suns,Gani Lawal,Torn Acl And Partially Torn Mcl In Right Knee (Out For Season),2011,Torn
2011-01-07,76Ers,Tony Battie,Placed On Il With Right Rotator Cuff Tendinitis,2011,Other
2011-01-07,76Ers,Nan,Activated From Il,2011,Other
2011-01-07,Bucks,Brandon Jennings,Recovering From Surgery On Left Foot (Dnp),2011,Surgery
2011-01-07,Bucks,Drew Gooden,Plantar Fasciitis In Left Foot (Dnp),2011,Other
2011-01-07,Cavaliers,Anderson Varejao,Torn Tendon In Right Ankle (Out For Season),2011,Torn
2011-01-07,Cavaliers,Anthony Parker,Strained Lower Back (Dnp),2011,Strain
2011-01-07,Cavaliers,Daniel Gibson,Placed On Il With Sprained Left Ankle,2011,Sprain
2011-01-07,Cavaliers,Leon Powe,Placed On Il Recovering From Surgery On Right Knee To Repair Torn Meniscus (Out Indefinitely),2011,Torn
2011-01-07,Grizzlies,Xavier Henry,Placed On Il With Sore Right Knee,2011,Other
2011-01-07,Pacers,Solomon Jones,Placed On Il,2011,Other
2011-01-07,Raptors,Jerryd Bayless,Sprained Left Ankle (Dnp),2011,Sprain
2011-01-07,Raptors,Solomon Alabi,Placed On Il,2011,Other
2011-01-07,Rockets,Yao Ming,Surgery On Left Ankle To Repair Stress Fracture (Out For Season),2011,Fracture
2011-01-07,Timberwolves,Sebastian Telfair,Placed On Il,2011,Other
2011-01-07,Wizards,Josh Howard,Placed On Il With Sore Left Knee,2011,Other
2011-01-07,Raptors,Sonny Weems,Back Spasms (Dnp),2011,Other
2011-01-08,Bucks,Andrew Bogut,Virus (Dnp),2011,Other
2011-01-08,Bucks,Brandon Jennings,Recovering From Surgery On Left Foot (Dnp),2011,Surgery
2011-01-08,Bucks,Drew Gooden,Plantar Fasciitis In Left Foot (Dnp),2011,Other
2011-01-08,Hawks,Etan Thomas,Placed On Il,2011,Other
2011-01-08,Lakers,Matt Barnes,Torn Cartilage In Right Knee (Out Indefinitely),2011,Torn
2011-01-08,Nets,Devin Harris,Bruised Right Quadriceps (Dnp),2011,Bruise
2011-01-08,Pacers,Josh Mcroberts,Placed On Il,2011,Other
2011-01-08,Pacers,Lance Stephenson,Placed On Il,2011,Other
2011-01-08,Pacers,Nan,Activated From Il,2011,Other
2011-01-08,Pistons,Dajuan Summers,Placed On Il,2011,Other
2011-01-09,Cavaliers,Anthony Parker,Strained Lower Back (Dnp),2011,Strain
2011-01-09,Kings,Tyreke Evans,Placed On Il With Left Foot Injury / Sprained Left Ankle (Cbc),2011,Sprain
2011-01-09,Kings,Nan,Activated From Il,2011,Other
2011-01-09,Lakers,Matt Barnes,Placed On Il With Torn Cartilage In Right Knee (Surgery),2011,Torn
2011-01-09,Nuggets,Chris Andersen,Placed On Il With Sore Right Knee,2011,Other
2011-01-09,Nuggets,Ty Lawson,Strained Left Knee (Dnp),2011,Strain
2011-01-09,Raptors,Sonny Weems,Back Spasms (Dnp),2011,Other
2011-01-09,Suns,Gani Lawal,Placed On Il With Torn Acl And Partially Torn Mcl In Right Knee (Out For Season),2011,Torn
2011-01-09,Timberwolves,Kosta Koufos,Placed On Il,2011,Other
2011-01-10,Rockets,Brad Miller,Sore Right Knee (Dnp),2011,Other
2011-01-10,Rockets,Kevin Martin,Placed On Il With Sprained Right Wrist,2011,Sprain
2011-01-10,Rockets,Nan,Activated From Il,2011,Other
2011-01-11,76Ers,Darius Songaila,Placed On Il,2011,Other
2011-01-11,76Ers,Nan,Activated From Il,2011,Other
2011-01-11,Cavaliers,Anderson Varejao,Torn Tendon In Right Ankle (Dnp),2011,Torn
2011-01-11,Cavaliers,Anthony Parker,Strained Lower Back (Dnp),2011,Strain
2011-01-11,Knicks,Anthony Randolph,Flu-Like Symptoms (Dnp),2011,Other
2011-01-11,Lakers,Matt Barnes,Surgery On Right Knee To Repair Torn Lateral Meniscus (Out Indefinitely),2011,Torn
2011-01-11,Nuggets,Melvin Ely,Placed On Il,2011,Other
2011-01-11,Nuggets,Renaldo Balkman,Placed On Il,2011,Other
2011-01-11,Suns,Grant Hill,Placed On Il With Sore/Sprained Right Knee,2011,Sprain
2011-01-12,Bobcats,Derrick Brown,Placed On Il,2011,Other
2011-01-12,Bobcats,Nan,Activated From Il,2011,Other
2011-01-12,Bucks,Brandon Jennings,Recovering From Surgery On Left Foot (Dnp),2011,Surgery
2011-01-12,Celtics,Jermaine O'Neal,Sore Left Knee (Dnp),2011,Other
2011-01-12,Grizzlies,Tony Allen,Sore Left Knee (Dnp),2011,Other
2011-01-12,Hornets,David Andersen,Placed On Il,2011,Other
2011-01-12,Jazz,Jeremy Evans,Placed On Il,2011,Other
2011-01-12,Nets,Anthony Morrow,Strained Right Hamstring (Dnp),2011,Strain
2011-01-12,Nets,Troy Murphy,Placed On Il,2011,Other
2011-01-12,Pistons,Ben Wallace,Placed On Il With Left Ankle Injury,2011,Other
2011-01-12,Rockets,Brad Miller,Sore Right Knee (Dnp),2011,Other
2011-01-12,Warriors,Reggie Williams,Achilles Tendon Injury (Dtd),2011,Other
2011-01-13,Heat,Lebron James,Sprained Left Ankle (Dnp),2011,Sprain
2011-01-13,Nuggets,Chris Andersen,Placed On Il With Sore Right Knee And Lower Back,2011,Other
2011-01-13,Nuggets,Nan,Activated From Il,2011,Other
2011-01-13,Timberwolves,Michael Beasley,Placed On Il With Sprained Left Ankle,2011,Sprain
2011-01-13,Timberwolves,Sebastian Telfair,Placed On Il,2011,Other
2011-01-13,Wizards,Andray Blatche,Sprained Right Shoulder (Dnp),2011,Sprain
2011-01-14,76Ers,Craig Brackins,Placed On Il,2011,Other
2011-01-14,76Ers,Nan,Activated From Il,2011,Other
2011-01-14,Bobcats,Sherron Collins,Placed On Il,2011,Other
2011-01-14,Bucks,Brandon Jennings,Recovering From Surgery On Left Foot (Dnp),2011,Surgery
2011-01-14,Cavaliers,Anderson Varejao,Placed On Il With Torn Tendon In Right Ankle (Out For Season),2011,Torn
2011-01-14,Cavaliers,Anthony Parker,Placed On Il With Strained Lower Back,2011,Strain
2011-01-14,Cavaliers,Christian Eyenga,Sprained Right Ankle (Dnp),2011,Sprain
2011-01-14,Cavaliers,Daniel Gibson,Sprained Left Ankle (Dnp),2011,Sprain
2011-01-14,Celtics,Jermaine O'Neal,Sore Left Knee (Dnp),2011,Other
2011-01-14,Celtics,Kevin Garnett,Strained Right Leg (Dnp),2011,Strain
2011-01-14,Hornets,Marco Belinelli,Placed On Il With Sprained Right Ankle,2011,Sprain
2011-01-14,Kings,Luther Head,Placed On Il,2011,Other
2011-01-14,Knicks,Ronny Turiaf,Right Hip Pointer (Dtd),2011,Other
2011-01-14,Pacers,A.J. Price,Placed On Il,2011,Other
2011-01-14,Pacers,Solomon Jones,Placed On Il,2011,Other
2011-01-14,Raptors,Leandro Barbosa,Strained Right Hamstring (Dtd),2011,Strain
2011-01-14,Raptors,Sonny Weems,Placed On Il With Sore Back,2011,Other
2011-01-14,Rockets,Brad Miller,Placed On Il With Sore Right Knee,2011,Other
2011-01-14,Rockets,Ish Smith,Placed On Il,2011,Other
2011-01-14,Spurs,Matt Bonner,Sore Right Knee (Dtd),2011,Other
2011-01-14,Suns,Garret Siler,Placed On Il,2011,Other
2011-01-14,Warriors,Brandan Wright,Strained Lower Back (Dtd),2011,Strain
2011-01-14,Celtics,Avery Bradley,Placed On Il,2011,Other
2011-01-14,Cavaliers,Joey Graham,Strained Right Quadriceps (Dnp),2011,Strain
2011-01-15,Bobcats,Derrick Brown,Placed On Il,2011,Other
2011-01-15,Cavaliers,Christian Eyenga,Sprained Left Ankle (Dnp),2011,Sprain
2011-01-15,Cavaliers,Daniel Gibson,Sprained Right Ankle (Dnp),2011,Sprain
2011-01-15,Cavaliers,Joey Graham,Strained Right Quadriceps (Dnp),2011,Strain
2011-01-15,Grizzlies,Tony Allen,Sore Left Knee (Dnp),2011,Other
2011-01-15,Heat,Lebron James,Placed On Il With Sprained Left Ankle,2011,Sprain
2011-01-15,Heat,Nan,Activated From Il,2011,Other
2011-01-15,Mavericks,Tyson Chandler,Placed On Il With Flu,2011,Other
2011-01-15,Nets,Anthony Morrow,Strained Right Hamstring (Dnp),2011,Strain
2011-01-15,Nuggets,Kenyon Martin,Placed On Il With Sore Knee,2011,Other
2011-01-15,Raptors,Jerryd Bayless,Sore/Sprained Left Ankle (Dnp),2011,Sprain
2011-01-15,Raptors,Leandro Barbosa,Strained Right Hamstring (Dnp),2011,Strain
2011-01-16,Nuggets,Renaldo Balkman,Placed On Il,2011,Other
2011-01-16,Nuggets,Nan,Activated From Il,2011,Other
2011-01-16,Spurs,Matt Bonner,Sore Right Knee (Dnp),2011,Other
2011-01-17,76Ers,Andres Nocioni,Placed On Il With Dislocated Right Middle Finger,2011,Other
2011-01-17,76Ers,Nan,Activated From Il,2011,Other
2011-01-17,Blazers,Brandon Roy,Arthroscopic Surgery On Both Knees (Out Indefinitely),2011,Surgery
2011-01-17,Bucks,Brandon Jennings,Recovering From Surgery On Left Foot (Dnp),2011,Surgery
2011-01-17,Bulls,Carlos Boozer,Sprained Left Ankle (Dnp),2011,Sprain
2011-01-17,Celtics,Jermaine O'Neal,Sore Left Knee (Dnp),2011,Other
2011-01-17,Grizzlies,Tony Allen,Sore Left Knee (Dnp),2011,Other
2011-01-17,Hawks,Jordan Crawford,Placed On Il,2011,Other
2011-01-17,Hornets,Didier Mbenga,Placed On Il,2011,Other
2011-01-17,Jazz,Gordon Hayward,Placed On Il With Sinus Infection,2011,Other
2011-01-17,Kings,Francisco Garcia,Placed On Il With Sore Left Calf,2011,Other
2011-01-17,Knicks,Ronny Turiaf,Placed On Il With Right Hip Pointer,2011,Other
2011-01-17,Nets,Anthony Morrow,Strained Right Hamstring (Dnp),2011,Strain
2011-01-17,Pacers,Lance Stephenson,Placed On Il,2011,Other
2011-01-17,Raptors,Jerryd Bayless,Sore Left Ankle (Dnp),2011,Other
2011-01-17,Raptors,Leandro Barbosa,Strained Right Hamstring (Dnp),2011,Strain
2011-01-17,Raptors,Linas Kleiza,Sore Right Knee (Dnp),2011,Other
2011-01-17,Rockets,Patrick Patterson,Upper Respiratory Distress / Flu (Dnp),2011,Other
2011-01-17,Timberwolves,Lazar Hayward,Placed On Il,2011,Other
2011-01-18,Bobcats,Eduardo Najera,Placed On Il,2011,Other
2011-01-18,Bobcats,Nan,Activated From Il,2011,Other
2011-01-18,Bulls,Carlos Boozer,Sprained Left Ankle (Dnp),2011,Sprain
2011-01-18,Hawks,Etan Thomas,Placed On Il,2011,Other
2011-01-18,Heat,Chris Bosh,Placed On Il With Sprained Left Ankle,2011,Sprain
2011-01-19,Bucks,Brandon Jennings,Recovering From Surgery On Left Foot (Dnp),2011,Surgery
2011-01-19,Bucks,John Salmons,Sore Right Hip (Dnp),2011,Other
2011-01-19,Celtics,Jermaine O'Neal,Sore Left Knee (Dnp),2011,Other
2011-01-19,Grizzlies,Tony Allen,Sore Left Knee (Dnp),2011,Other
2011-01-19,Jazz,Jeremy Evans,Placed On Il,2011,Other
2011-01-19,Jazz,Nan,Activated From Il,2011,Other
2011-01-19,Knicks,Andy Rautins,Placed On Il,2011,Other
2011-01-19,Mavericks,Alex Ajinca,Placed On Il,2011,Other
2011-01-19,Pacers,Roy Hibbert,Placed On Il With Upper Respiratory Infection,2011,Other
2011-01-19,Raptors,Leandro Barbosa,Strained Right Hamstring (Dnp),2011,Strain
2011-01-19,Spurs,Matt Bonner,Placed On Il With Sore Right Knee,2011,Other
2011-01-19,Timberwolves,Nikola Pekovic,Placed On Il,2011,Other
2011-01-20,Bobcats,Sherron Collins,Placed On Il,2011,Other
2011-01-20,Bobcats,Tyrus Thomas,Placed On Il With Torn Meniscus In Left Knee,2011,Torn
2011-01-20,Bobcats,Nan,Activated From Il,2011,Other
2011-01-20,Bulls,Carlos Boozer,Sprained Left Ankle (Dnp),2011,Sprain
2011-01-20,Blazers,Marcus Camby,Arthroscopic Surgery On Left Knee To Repair Torn Meniscus,2011,Torn
2011-01-21,Bucks,Brandon Jennings,Placed On Il Recovering From Surgery On Left Foot,2011,Surgery
2011-01-21,Bucks,John Salmons,Sore Right Hip (Dnp),2011,Other
2011-01-21,Bucks,Nan,Activated From Il,2011,Other
2011-01-21,Cavaliers,Mo Williams,Placed On Il With Hip Flexor Injury,2011,Other
2011-01-21,Celtics,Jermaine O'Neal,Sore Left Knee (Dnp),2011,Other
2011-01-21,Celtics,Shaquille O'Neal,Hip Injury (Dtd),2011,Other
2011-01-21,Hawks,Al Horford,Placed On Il With Sore Right Ankle,2011,Other
2011-01-21,Hornets,Aaron Gray,Placed On Il With Sprained Ankle,2011,Sprain
2011-01-21,Hornets,Trevor Ariza,Right Ankle Tendinitis / Knee Tendinitis (Cbc) (Dnp),2011,Other
2011-01-21,Pistons,Charlie Villanueva,Sprained Left Ankle (Dtd),2011,Sprain
2011-01-21,Raptors,Joey Dorsey,Sore Right Knee (Dtd),2011,Other
2011-01-21,Raptors,Leandro Barbosa,Strained Right Hamstring (Dnp),2011,Strain
2011-01-21,Spurs,George Hill,Sprained Right Thumb (Dnp),2011,Sprain
2011-01-21,Warriors,Lou Amundson,Placed On Il With Sprained Left Ankle,2011,Sprain
2011-01-21,Wizards,Kirk Hinrich,Sprained Elbow (Dtd),2011,Sprain
2011-01-22,Blazers,Marcus Camby,Recovering From Arthroscopic Surgery On Left Knee To Repair Torn Meniscus (Dnp),2011,Torn
2011-01-22,Bucks,Drew Gooden,Plantar Fasciitis In Left Foot (Dnp),2011,Other
2011-01-22,Bucks,John Salmons,Strained Right Hip (Dnp),2011,Strain
2011-01-22,Cavaliers,Anthony Parker,Strained Lower Back (Dnp),2011,Strain
2011-01-22,Celtics,Jermaine O'Neal,Sore Left Knee (Dnp),2011,Other
2011-01-22,Celtics,Shaquille O'Neal,Sore Right Knee (Dnp),2011,Other
2011-01-22,Clippers,Willie Warren,Placed On Il,2011,Other
2011-01-22,Clippers,Nan,Activated From Il,2011,Other
2011-01-22,Heat,Dwyane Wade,Migraine Headache (Dnp),2011,Other
2011-01-22,Hornets,Trevor Ariza,Right Knee Tendinitis (Dnp),2011,Other
2011-01-22,Jazz,Francisco Elson,Placed On Il With Quadriceps Injury,2011,Other
2011-01-22,Magic,Jason Williams,Foot Injury (Out Indefinitely),2011,Other
2011-01-22,Pacers,Josh Mcroberts,Placed On Il,2011,Other
2011-01-22,Pistons,Charlie Villanueva,Placed On Il With Sprained Left Ankle,2011,Sprain
2011-01-22,Raptors,Joey Dorsey,Strained Right Patella Tendon (Dnp),2011,Strain
2011-01-22,Raptors,Leandro Barbosa,Strained Right Hamstring (Dnp),2011,Strain
2011-01-22,Raptors,Linas Kleiza,Sore Right Knee (Dnp),2011,Other
2011-01-22,Spurs,George Hill,Sprained Right Thumb (Dnp),2011,Sprain
2011-01-22,Thunder,B.J. Mullens,Placed On Il,2011,Other
2011-01-22,Warriors,Acie Law,Placed On Il With Sore Left Knee,2011,Other
2011-01-22,Wizards,Kirk Hinrich,Placed On Il With Sprained Elbow,2011,Sprain
2011-01-24,76Ers,Darius Songaila,Placed On Il,2011,Other
2011-01-24,76Ers,Nan,Activated From Il,2011,Other
2011-01-24,Blazers,Marcus Camby,Placed On Il Recovering From Arthroscopic Surgery On Left Knee To Repair Torn Meniscus,2011,Torn
2011-01-24,Bucks,John Salmons,Strained Right Hip (Dnp),2011,Strain
2011-01-24,Cavaliers,Anthony Parker,Strained Lower Back (Dnp),2011,Strain
2011-01-24,Raptors,Joey Dorsey,Strained Right Patella Tendon (Dnp),2011,Strain
2011-01-24,Raptors,Jose Calderon,Flu-Like Symptoms / Ankle Injury (Cbc) (Dnp),2011,Other
2011-01-24,Raptors,Leandro Barbosa,Placed On Il With Strained Right Hamstring,2011,Strain
2011-01-24,Raptors,Linas Kleiza,Sore Right Knee (Dnp),2011,Other
2011-01-24,Rockets,Jared Jeffries,Placed On Il With Hyperextended Right Knee,2011,Other
2011-01-24,Timberwolves,Kosta Koufos,Placed On Il,2011,Other
2011-01-24,Warriors,Charlie Bell,Placed On Il,2011,Other
2011-01-24,Raptors,Alex Ajinca,Placed On Il,2011,Other
2011-01-25,Celtics,Jermaine O'Neal,Placed On Il With Sore Left Knee,2011,Other
2011-01-25,Celtics,Shaquille O'Neal,Sore Right Leg (Dnp),2011,Other
2011-01-25,Celtics,Nan,Activated From Il,2011,Other
2011-01-25,Clippers,Eric Gordon,Sprained Right Wrist (Dnp),2011,Sprain
2011-01-25,Jazz,Kyrylo Fesenko,Placed On Il With Upper Respiratory Infection,2011,Other
2011-01-25,Mavericks,Peja Stojakovic,Placed On Il With Sore Knee,2011,Other
2011-01-26,Bobcats,Derrick Brown,Placed On Il,2011,Other
2011-01-26,Bobcats,Nan,Activated From Il,2011,Other
2011-01-26,Bucks,Drew Gooden,Placed On Il With Plantar Fasciitis In Left Foot,2011,Other
2011-01-26,Bucks,John Salmons,Strained Right Hip (Dnp),2011,Strain
2011-01-26,Clippers,Eric Gordon,Sprained Right Wrist (Dnp),2011,Sprain
2011-01-26,Grizzlies,Demarre Carroll,Placed On Il,2011,Other
2011-01-26,Hawks,Jordan Crawford,Placed On Il,2011,Other
2011-01-26,Hawks,Josh Powell,Placed On Il,2011,Other
2011-01-26,Nuggets,Kenyon Martin,Left Knee Injury (Dnp),2011,Other
2011-01-26,Nuggets,Nene Hilario,Placed On Il With Strained Right Calf,2011,Strain
2011-01-26,Pistons,Richard Hamilton,Placed On Il With Flu,2011,Other
2011-01-26,Raptors,Linas Kleiza,Placed On Il With Sore Right Knee,2011,Other
2011-01-26,Timberwolves,Lazar Hayward,Placed On Il,2011,Other
2011-01-27,Celtics,Shaquille O'Neal,Sore Right Hip (Dnp),2011,Other
2011-01-28,Bobcats,Sherron Collins,Placed On Il,2011,Other
2011-01-28,Bobcats,Nan,Activated From Il,2011,Other
2011-01-28,Bucks,John Salmons,Strained Right Hip (Dnp),2011,Strain
2011-01-28,Grizzlies,Hamed Haddadi,Placed On Il,2011,Other
2011-01-28,Heat,Dwyane Wade,Sprained Right Wrist (Dnp),2011,Sprain
2011-01-28,Jazz,Deron Williams,Strained Tendon In Right Wrist (Dnp),2011,Strain
2011-01-28,Jazz,Mehmet Okur,Strained Lower Back (Dtd),2011,Strain
2011-01-28,Knicks,Wilson Chandler,Placed On Il With Sore Left Calf,2011,Other
2011-01-28,Nets,Jordan Farmar,Strained Lower Back (Dnp),2011,Strain
2011-01-28,Nuggets,Renaldo Balkman,Placed On Il,2011,Other
2011-01-28,Pacers,Brandon Rush,Placed On Il With Sprained Right Ankle,2011,Sprain
2011-01-28,Pacers,Tyler Hansbrough,Placed On Il With Pneumonia,2011,Other
2011-01-28,Pistons,Rodney Stuckey,Bruised Right Shoulder (Dnp),2011,Bruise
2011-01-28,Thunder,Thabo Sefolosha,Placed On Il With Sore/Sprained Knee,2011,Sprain
2011-01-28,Wizards,Javale Mcgee,Placed On Il With Flu,2011,Other
2011-01-28,Wizards,Kirk Hinrich,Sprained Right Ankle (Dnp),2011,Sprain
2011-01-29,Bucks,John Salmons,Strained Right Hip (Dnp),2011,Strain
2011-01-29,Bucks,Nan,Activated From Il,2011,Other
2011-01-29,Nets,Jordan Farmar,Strained Lower Back (Dnp),2011,Strain
2011-01-29,Wizards,Mustafa Shakur,Right Leg Injury (Dtd),2011,Other
2011-01-30,Heat,Jamaal Magloire,Placed On Il,2011,Other
2011-01-30,Heat,Nan,Activated From Il,2011,Other
2011-01-30,Jazz,Deron Williams,Strained Tendon In Right Wrist (Dnp),2011,Strain
2011-01-30,Jazz,Mehmet Okur,Placed On Il With Strained Back / Chronic Disc Problem In Back (Out For Season),2011,Strain
2011-01-30,Knicks,Wilson Chandler,Sore Left Calf (Dnp),2011,Other
2011-01-30,Magic,Gilbert Arenas,Bruised Left Knee (P) / Sore Right Knee (Cbc) (Dnp),2011,Bruise
2011-01-30,Nuggets,Al Harrington,Placed On Il With Left Foot Injury,2011,Other
2011-01-30,Nuggets,Kenyon Martin,Placed On Il With Sore Left Knee,2011,Other
2011-01-30,Pistons,Rodney Stuckey,Bruised Right Shoulder (Dnp),2011,Bruise
2011-01-30,Suns,Gani Lawal,Surgery On Right Knee To Repair Torn Acl And Partially Torn Mcl (Out For Season),2011,Torn
2011-01-30,Suns,Goran Dragic,Placed On Il With Stitches In Left Foot,2011,Other
2011-01-31,Bobcats,Derrick Brown,Placed On Il,2011,Other
2011-01-31,Bobcats,Nan,Activated From Il,2011,Other
2011-01-31,Bucks,John Salmons,Placed On Il With Strained Right Hip,2011,Strain
2011-01-31,Cavaliers,Daniel Gibson,Bruised Left Quadriceps (Dnp),2011,Bruise
2011-01-31,Clippers,Eric Gordon,Sprained Right Wrist (Dnp),2011,Sprain
2011-01-31,Grizzlies,Demarre Carroll,Placed On Il,2011,Other
2011-01-31,Jazz,Deron Williams,Strained Tendon In Right Wrist (Dnp),2011,Strain
2011-01-31,Magic,J.J. Redick,Sore Left Shoulder (Dtd),2011,Other
2011-01-31,Nets,Jordan Farmar,Strained Lower Back (Dnp),2011,Strain
2011-01-31,Nuggets,Chris Andersen,Placed On Il With Sore Right Knee,2011,Other
2011-01-31,Pacers,Solomon Jones,Placed On Il,2011,Other
2011-01-31,Wizards,Mustafa Shakur,Placed On Il,2011,Other
2011-02-01,Hornets,Emeka Okafor,Placed On Il With Strained Left Oblique Muscle,2011,Strain
2011-02-01,Hornets,Nan,Activated From Il,2011,Other
2011-02-01,Kings,Jason Thompson,Sprained Right Ankle (Dnp),2011,Sprain
2011-02-01,Lakers,Andrew Bynum,Bone Bruised In Left Knee (Dnp),2011,Bruise
2011-02-01,Rockets,Ish Smith,Placed On Il,2011,Other
2011-02-02,Bobcats,Dominic Mcguire,Placed On Il,2011,Other
2011-02-02,Bobcats,Nan,Activated From Il,2011,Other
2011-02-02,Bucks,Andrew Bogut,Placed On Il With Bruised Right Knee,2011,Bruise
2011-02-02,Bucks,Keyon Dooling,Flu (Dnp),2011,Other
2011-02-02,Bucks,Larry Sanders,Illness (Dnp),2011,Other
2011-02-02,Cavaliers,Daniel Gibson,Bruised Left Quadriceps (Dnp),2011,Bruise
2011-02-02,Clippers,Eric Gordon,Sprained Right Wrist (Dnp),2011,Sprain
